ncc,页,类型,备注
0.357003,125,嵌入图1 xref=286 797x1051 rot=0,262389B
0.146092,3,整页渲染,
0.145798,112,嵌入图1 xref=258 506x507 rot=180,108743B
0.136065,4,整页渲染,
0.131137,65,嵌入图1 xref=158 581x607 rot=90,165129B
0.128622,2,整页渲染,
0.126303,114,整页渲染,
0.107300,65,整页渲染,
0.103345,125,整页渲染,
0.094727,4,嵌入图1 xref=15 798x1264 rot=90,162370B
0.091388,114,嵌入图1 xref=263 506x615 rot=90,127074B
0.082701,88,嵌入图1 xref=206 裁剪(0.0, 0.06),
0.076646,3,嵌入图1 xref=12 裁剪(0.03, 0.03),
0.075767,88,嵌入图1 xref=206 782x451 rot=90,175024B
0.074019,29,整页渲染,
0.072912,23,整页渲染,
0.072830,112,整页渲染,
0.071311,3,嵌入图1 xref=12 800x1312 rot=0,186765B
0.069953,103,整页渲染,
0.069673,84,整页渲染,
0.068592,2,嵌入图1 xref=9 裁剪(0.0, 0.03),
0.068349,1,嵌入图1 xref=4 裁剪(0.0, 0.03),
0.064764,11,整页渲染,
0.064339,51,整页渲染,
0.064015,38,整页渲染,
0.062619,78,整页渲染,
0.061799,29,嵌入图1 xref=79 697x506 rot=0,185719B
0.061633,39,整页渲染,
0.061193,20,整页渲染,
0.060933,45,整页渲染,
0.060917,105,整页渲染,
0.060173,98,整页渲染,
0.059167,23,嵌入图1 xref=66 1012x489 rot=270,181295B
0.059157,137,嵌入图1 xref=313 裁剪(0.06, 0.0),
0.058944,137,嵌入图1 xref=313 986x805 rot=0,137823B
0.058671,1,嵌入图1 xref=4 1108x1578 rot=0,271071B
0.058604,2,嵌入图1 xref=9 950x1352 rot=0,224259B
0.058326,110,整页渲染,
0.058246,27,整页渲染,
0.058099,72,整页渲染,
0.058077,24,整页渲染,
0.057176,83,整页渲染,
0.057061,128,整页渲染,
0.056727,1,整页渲染,
0.056547,87,整页渲染,
0.056436,31,整页渲染,
0.054019,22,整页渲染,
0.053881,134,整页渲染,
0.053585,136,整页渲染,
0.053474,102,整页渲染,
0.053469,60,整页渲染,
0.052611,130,整页渲染,
0.052609,56,整页渲染,
0.051944,28,整页渲染,
0.051676,53,整页渲染,
0.051079,43,整页渲染,
0.050973,13,整页渲染,
0.050935,58,整页渲染,
0.050717,73,整页渲染,
0.050689,86,整页渲染,
0.050522,132,整页渲染,
0.050504,17,整页渲染,
0.050394,16,整页渲染,
0.050124,116,整页渲染,
0.049868,85,整页渲染,
0.049773,88,整页渲染,
0.049425,85,嵌入图1 xref=199 992x373 rot=90,143923B
0.049371,67,整页渲染,
0.049110,91,整页渲染,
0.049029,8,整页渲染,
0.048900,15,整页渲染,
0.048428,118,整页渲染,
0.048321,81,整页渲染,
0.047955,108,整页渲染,
0.047710,36,嵌入图1 xref=95 635x470 rot=90,179201B
0.047482,93,整页渲染,
0.046982,74,整页渲染,
0.046980,131,整页渲染,
0.046975,12,整页渲染,
0.046532,62,整页渲染,
0.046225,77,整页渲染,
0.046146,106,整页渲染,
0.046131,25,整页渲染,
0.045793,69,整页渲染,
0.045734,127,整页渲染,
0.045722,100,整页渲染,
0.045121,34,整页渲染,
0.044858,75,整页渲染,
0.044655,115,整页渲染,
0.044368,122,整页渲染,
0.044217,96,整页渲染,
0.044176,71,整页渲染,
0.044088,57,整页渲染,
0.043989,55,整页渲染,
0.043966,119,整页渲染,
0.043950,7,整页渲染,
0.043554,30,整页渲染,
0.043335,99,整页渲染,
0.043291,123,整页渲染,
0.042964,120,整页渲染,
0.042492,63,整页渲染,
0.042386,36,整页渲染,
0.042295,52,整页渲染,
0.042229,46,整页渲染,
0.042060,44,整页渲染,
0.041966,97,整页渲染,
0.041917,92,整页渲染,
0.041605,35,整页渲染,
0.041394,129,整页渲染,
0.041358,70,整页渲染,
0.041295,10,整页渲染,
0.041056,104,整页渲染,
0.041042,50,整页渲染,
0.040904,66,整页渲染,
0.040785,109,整页渲染,
0.040623,68,整页渲染,
0.040385,54,整页渲染,
0.040080,117,整页渲染,
0.039800,26,整页渲染,
0.039483,137,整页渲染,
0.039291,82,整页渲染,
0.039080,19,整页渲染,
0.038090,134,嵌入图1 xref=306 1143x763 rot=0,222439B
0.038084,121,整页渲染,
0.038004,61,整页渲染,
0.037318,9,整页渲染,
0.037183,59,整页渲染,
0.036607,107,整页渲染,
0.036542,90,整页渲染,
0.035895,14,整页渲染,
0.035052,101,整页渲染,
0.034805,89,整页渲染,
0.034301,18,整页渲染,
0.033910,42,整页渲染,
0.033314,49,整页渲染,
0.032640,79,整页渲染,
0.030560,47,整页渲染,
0.030425,135,整页渲染,
0.030248,33,嵌入图1 xref=88 603x585 rot=0,146619B
0.029974,6,整页渲染,
0.029315,126,整页渲染,
0.029310,37,整页渲染,
0.028680,64,整页渲染,
0.028244,95,整页渲染,
0.027795,80,整页渲染,
0.027790,111,整页渲染,
0.027358,21,整页渲染,
0.024797,5,整页渲染,
0.024461,124,整页渲染,
0.022640,76,整页渲染,
0.022537,48,整页渲染,
0.020105,40,整页渲染,
0.019478,133,整页渲染,
0.019047,32,整页渲染,
0.018864,94,整页渲染,
0.018381,41,整页渲染,
0.018195,33,整页渲染,
0.012685,126,嵌入图1 xref=289 裁剪(0.03, 0.03),
0.010485,41,嵌入图1 xref=106 803x643 rot=180,197521B
0.003721,113,整页渲染,
-0.005979,126,嵌入图1 xref=289 505x438 rot=0,45189B
